,Year,Scenario,Country,value
175,2016,1.5deg,NG,232204164307.88846
176,2016,1.5deg,NM,19888891584.561264
177,2016,1.5deg,RW,4444222285.974858
178,2016,1.5deg,SD,73689711160.13306
179,2016,1.5deg,SL,211257659.84171486
180,2016,1.5deg,SN,7824459968.089846
181,2016,1.5deg,SO,401597154.68827987
182,2016,1.5deg,SS,77075485.86688991
183,2016,1.5deg,SZ,2797068479.9173856
184,2016,1.5deg,TD,94920118.56295124
185,2016,1.5deg,TG,3168606507.9769516
186,2016,1.5deg,TN,146412065418.76132
187,2016,1.5deg,TZ,35230182576.9897
188,2016,1.5deg,UG,32516367335.161324
189,2016,1.5deg,ZA,624098298297.9312
190,2016,1.5deg,ZM,102353055414.318
191,2016,1.5deg,ZW,42393047713.975784
192,2016,2.0deg,AO,52296774335.95059
193,2016,2.0deg,BF,1745315741.9259028
194,2016,2.0deg,BI,2064371022.6167765
195,2016,2.0deg,BJ,6267128580.258356
196,2016,2.0deg,BW,5917744720.244189
197,2016,2.0deg,CD,104603939634.35255
198,2016,2.0deg,CF,467041544.0321803
199,2016,2.0deg,CG,13832997189.27564
200,2016,2.0deg,CI,39468009845.64038
201,2016,2.0deg,CM,56005936240.13994
202,2016,2.0deg,DJ,41580196.322927445
203,2016,2.0deg,DZ,689752886779.5688
204,2016,2.0deg,EG,1564128018600.751
205,2016,2.0deg,ER,197267837.97255218
206,2016,2.0deg,ET,122580536023.12146
207,2016,2.0deg,GA,16632174209.77225
208,2016,2.0deg,GH,125460259933.37383
209,2016,2.0deg,GM,208423500.40065464
210,2016,2.0deg,GN,5282730537.181137
211,2016,2.0deg,GQ,13265933702.092556
212,2016,2.0deg,GW,13691040.252671232
213,2016,2.0deg,KE,62599486279.91184
214,2016,2.0deg,LR,183432787.3472315
215,2016,2.0deg,LS,3290870065.0013485
216,2016,2.0deg,LY,235622576502.344
217,2016,2.0deg,MA,206762086778.09628
218,2016,2.0deg,ML,9497642229.523577
219,2016,2.0deg,MR,6468608852.002499
220,2016,2.0deg,MW,16394064336.418955
221,2016,2.0deg,MZ,102950497969.79388
222,2016,2.0deg,NE,528016525.56131244
223,2016,2.0deg,NG,232204164307.88846
224,2016,2.0deg,NM,19888891584.561264
225,2016,2.0deg,RW,4444222285.974858
226,2016,2.0deg,SD,73719628618.46298
227,2016,2.0deg,SL,211257659.84171486
228,2016,2.0deg,SN,7670308996.356068
229,2016,2.0deg,SO,401597154.68827987
