,Year,Scenario,Country,Wind (Onshore),Wind (Offshore),Solar CSP,Solar PV,Hydro,Oil,Gas CCS,Gas,Nuclear,Geothermal,Coal,Coal CCS,Biomass,BECCS,Hydrogen
32,2015,1.5deg,NM,0.0,0.0,0.0,2896786264.093824,15541089476.89173,14705191.38249873,0.0,0.0,0.0,0.0,229316375.48745388,0.0,0.0,0.0,0.0
33,2015,1.5deg,RW,0.0,0.0,0.0,603497138.35288,3701658363.1159883,8620284.603533737,0.0,60644812.983215205,0.0,0.0,150371393.76226482,0.0,35461047.757817775,0.0,0.0
34,2015,1.5deg,SD,0.0,0.0,0.0,844895993.694032,69362026946.9591,773797312.0583814,0.0,0.0,0.0,0.0,0.0,0.0,2425535666.6347356,0.0,0.0
35,2015,1.5deg,SL,0.0,0.0,0.0,0.0,146891204.8855551,34988213.9790487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2015,1.5deg,SN,0.0,0.0,0.0,844895993.694032,3554767158.230433,801179392.5637239,0.0,0.0,0.0,0.0,285705648.1483032,0.0,0.0,0.0,0.0
37,2015,1.5deg,SO,0.0,215992054.708744,0.0,120699427.67057599,0.0,65919823.43878741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2015,1.5deg,SS,0.0,0.0,0.0,0.0,0.0,100400961.85292237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2015,1.5deg,SZ,0.0,0.0,0.0,0.0,2350259278.1688814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446809201.748504,0.0,0.0
40,2015,1.5deg,TD,0.0,0.0,0.0,0.0,0.0,52228783.18611618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2015,1.5deg,TG,0.0,0.0,0.0,120699427.67057599,2908445856.7339907,18761795.901808724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2015,1.5deg,TN,0.0,14212277199.835356,0.0,1931190842.7292159,2115233350.3519933,1298620521.744112,0.0,114679341351.25995,0.0,0.0,0.0,0.0,99290933.72188976,0.0,0.0
43,2015,1.5deg,TZ,0.0,0.0,0.0,603497138.35288,24765857143.70459,327063739.3693683,0.0,8581241037.124951,0.0,0.0,240594230.01962373,0.0,546100135.4703938,0.0,0.0
44,2015,1.5deg,UG,0.0,0.0,0.0,1448393132.046912,29701401627.859238,25353778.245687466,0.0,0.0,0.0,0.0,0.0,0.0,617022230.9860293,0.0,0.0
45,2015,1.5deg,ZA,0.0,44451164859.05952,14561708530.17095,98732131834.53116,99151563297.74968,685566163.7633891,0.0,8823820289.057812,4089827696.7595396,0.0,270115893900.00037,0.0,2425535666.6347356,0.0,0.0
46,2015,1.5deg,ZM,0.0,0.0,0.0,241398855.34115198,98710889683.09302,52735858.75102993,0.0,0.0,0.0,0.0,300742787.52452964,0.0,432624782.64537686,0.0,0.0
47,2015,1.5deg,ZW,0.0,0.0,0.0,120699427.67057599,30494614134.241238,0.0,0.0,0.0,0.0,0.0,10612461114.771841,0.0,985817127.6673341,0.0,0.0
48,2015,2.0deg,AO,0.0,0.0,0.0,844895993.694032,38367982716.10699,972063857.9396574,0.0,6519317395.695635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2015,2.0deg,BF,0.0,0.0,0.0,482797710.68230397,558186578.5651094,330106192.7588508,0.0,0.0,0.0,0.0,0.0,0.0,28368838.20625422,0.0,0.0
50,2015,2.0deg,BI,0.0,0.0,0.0,241398855.34115198,1586425012.763995,1521226.694741248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2015,2.0deg,BJ,0.0,0.0,0.0,241398855.34115198,29378240.97711102,53750009.88085742,0.0,6125126111.304736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2015,2.0deg,BW,0.0,0.0,0.0,120699427.67057599,0.0,41580196.322927445,0.0,0.0,0.0,0.0,5597575132.800308,0.0,0.0,0.0,0.0
53,2015,2.0deg,CD,0.0,0.0,0.0,0.0,104057729540.92723,7606133.47370624,0.0,212256845.44125322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2015,2.0deg,CF,0.0,0.0,0.0,0.0,440673614.65666527,25860853.810601216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2015,2.0deg,CG,0.0,0.0,0.0,0.0,8549068124.339306,13183964.687757483,0.0,5185131510.0649,0.0,0.0,0.0,0.0,85106514.61876266,0.0,0.0
56,2015,2.0deg,CI,0.0,0.0,0.0,241398855.34115198,25617826132.040806,318443454.76583457,0.0,13281214043.32413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2015,2.0deg,CM,0.0,0.0,0.0,362098283.011728,33226790545.11256,591250108.6894317,0.0,15585716936.686308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2015,2.0deg,DJ,0.0,0.0,0.0,0.0,0.0,41580196.322927445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
