,Region,Year,Export_factor,Regional_factor
90,Europe,2054,1.0,1.2355587588770334
91,Europe,2055,1.0,1.2384815297215255
92,Europe,2056,1.0,1.2413059656164194
93,Europe,2057,1.0,1.244032066561772
94,Europe,2058,1.0,1.246659832557583
95,Europe,2059,1.0,1.2491892636038529
96,Europe,2060,1.0,1.2516203597005529
97,Europe,2061,1.0,1.25395312084774
98,Europe,2062,1.0,1.2561875470453288
99,Europe,2063,1.0,1.258323638293433
100,Europe,2064,1.0,1.2603613945919392
101,Europe,2065,1.0,1.262300815940904
102,MENA,2015,0.2708333333346218,2.2351049543322006
103,MENA,2016,0.2835000000012542,2.172256095190278
104,MENA,2017,0.29650000000128784,2.1114762449669797
105,MENA,2018,0.30983333333460905,2.052765403664125
106,MENA,2019,0.3235000000012178,1.9961235712808048
107,MENA,2020,0.3375000000012278,1.9415507478170184
108,MENA,2021,0.3518333333345254,1.8890469332736757
109,MENA,2022,0.3665000000012242,1.8386121276489575
110,MENA,2023,0.38150000000109685,1.7902463309437735
111,MENA,2024,0.39683333333437076,1.743949543159033
112,MENA,2025,0.4125000000010459,1.6997217642929172
113,MENA,2026,0.4285000000011223,1.6575629943481545
114,MENA,2027,0.4448333333343726,1.6174732333211068
115,MENA,2028,0.4615000000010241,1.5794524812145028
116,MENA,2029,0.47850000000096315,1.5435007380283423
117,MENA,2030,0.49583333333430346,1.5096180037608065
118,MENA,2031,0.5135000000009313,1.4778042784128047
119,MENA,2032,0.5315000000009604,1.4480595619852465
120,MENA,2033,0.5498333333342771,1.4203838544772225
121,MENA,2034,0.5685000000008813,1.3947771558887325
122,MENA,2035,0.5875000000007731,1.3712394662197767
123,MENA,2036,0.6068333333341798,1.349770785470355
124,MENA,2037,0.626500000000874,1.3303711136413767
125,MENA,2038,0.6465000000008558,1.3130404507310232
126,MENA,2039,0.6668333333341252,1.2977787967411132
127,MENA,2040,0.6875000000007958,1.2845861516698278
128,MENA,2041,0.708500000000754,1.2734625155180765
129,MENA,2042,0.7298333333341134,1.2644078882876784
130,MENA,2043,0.7515000000006467,1.2574222699759048
131,MENA,2044,0.7735000000006949,1.2525056605827558
132,MENA,2045,0.7958333333340306,1.24965806011096
133,MENA,2046,0.8185000000007676,1.2488794685577886
134,MENA,2047,0.8415000000006785,1.2501698859259704
135,MENA,2048,0.8648333333339906,1.2535293122118674
136,MENA,2049,0.888500000000704,1.2589577474172984
137,MENA,2050,0.9125000000005912,1.2664551915440825
138,MENA,2051,0.9368333333338796,1.2334734413511539
139,MENA,2052,0.9615000000005693,1.2334734413511539
140,MENA,2053,0.9865000000006603,1.2334734413511539
141,MENA,2054,1.0118333333339251,1.2334734413511539
142,MENA,2055,1.0375000000005912,1.2334734413511539
143,MENA,2056,1.0635000000005448,1.2334734413511539
144,MENA,2057,1.0898333333338996,1.2334734413511539
145,MENA,2058,1.116500000000542,1.2334734413511539
146,MENA,2059,1.143500000000472,1.2334734413511539
147,MENA,2060,1.170833333333917,1.2334734413511539
148,MENA,2061,1.1985000000005357,1.2334734413511539
149,MENA,2062,1.226500000000442,1.2334734413511539
150,MENA,2063,1.2548333333338633,1.2334734413511539
151,MENA,2064,1.283500000000572,1.2334734413511539
152,MENA,2065,1.3125000000005684,1.2334734413511539
153,North America,2015,0.8,1.0000000000000004
154,North America,2016,0.8,1.0000000000000004
155,North America,2017,0.8,1.0000000000000004
156,North America,2018,0.8,1.0000000000000004
157,North America,2019,0.8,1.0000000000000004
158,North America,2020,0.9,1.0000000000000004
159,North America,2021,0.9,1.0000000000000004
160,North America,2022,0.9,1.0000000000000004
161,North America,2023,0.9,1.0000000000000004
162,North America,2024,0.9,1.0000000000000004
163,North America,2025,0.9,1.0000000000000004
164,North America,2026,0.9,1.0000000000000004
165,North America,2027,0.9,1.0000000000000004
166,North America,2028,0.9,1.0000000000000004
167,North America,2029,0.9,1.0000000000000004
168,North America,2030,0.9,1.0000000000000004
169,North America,2031,0.9,1.0000000000000004
170,North America,2032,0.9,1.0000000000000004
171,North America,2033,0.9,1.0000000000000004
172,North America,2034,0.9,1.0000000000000004
173,North America,2035,1.0,1.0000000000000004
174,North America,2036,1.0,1.0000000000000004
175,North America,2037,1.0,1.0000000000000004
176,North America,2038,1.0,1.0000000000000004
177,North America,2039,1.0,1.0000000000000004
178,North America,2040,1.0,1.0000000000000004
179,North America,2041,1.0,1.0000000000000004
180,North America,2042,1.0,1.0000000000000004
181,North America,2043,1.0,1.0000000000000004
182,North America,2044,1.0,1.0000000000000004
183,North America,2045,1.0,1.0000000000000004
184,North America,2046,1.0,1.0000000000000004
185,North America,2047,1.0,1.0000000000000004
186,North America,2048,1.0,1.0000000000000004
187,North America,2049,1.0,1.0000000000000004
188,North America,2050,1.0,1.0000000000000004
189,North America,2051,1.0,1.0000000000000004
190,North America,2052,1.0,1.0000000000000004
191,North America,2053,1.0,1.0000000000000004
192,North America,2054,1.0,1.0000000000000004
193,North America,2055,1.0,1.0000000000000004
194,North America,2056,1.0,1.0000000000000004
