r,t,y,TotalCapacityAnnual
REGION,AOCO00X00X,2020,999999999.0
REGION,AOCO00X00X,2021,999999999.0
REGION,AOCO00X00X,2022,999999999.0
REGION,AOCO00X00X,2023,999999999.0
REGION,AOCO00X00X,2024,999999999.0
REGION,AOCO00X00X,2025,999999999.0
REGION,AOCO00X00X,2026,999999999.0
REGION,AOCO00X00X,2027,999999999.0
REGION,AOCO00X00X,2028,999999999.0
REGION,AOCO00X00X,2029,999999999.0
REGION,AOCO00X00X,2030,999999999.0
REGION,AOCO00X00X,2031,999999999.0
REGION,AOCO00X00X,2032,999999999.0
REGION,AOCO00X00X,2033,999999999.0
REGION,AOCO00X00X,2034,999999999.0
REGION,AOCO00X00X,2035,999999999.0
REGION,AOCO00X00X,2036,999999999.0
REGION,AOCO00X00X,2037,999999999.0
REGION,AOCO00X00X,2038,999999999.0
REGION,AOCO00X00X,2039,999999999.0
REGION,AOCO00X00X,2040,999999999.0
REGION,AOCO00X00X,2041,999999999.0
REGION,AOCO00X00X,2042,999999999.0
REGION,AOCO00X00X,2043,999999999.0
REGION,AOCO00X00X,2044,999999999.0
REGION,AOCO00X00X,2045,999999999.0
REGION,AOCO00X00X,2046,999999999.0
REGION,AOCO00X00X,2047,999999999.0
REGION,AOCO00X00X,2048,999999999.0
REGION,AOCO00X00X,2049,999999999.0
REGION,AOCO00X00X,2070,999999999.0
REGION,AOCOSCC01N,2070,0.0
REGION,AOCOSCC02N,2070,0.0
REGION,AOCOSCC03N,2070,0.0
REGION,AOCOSCC04N,2070,0.0
REGION,AOCOSCP01N,2070,0.0
REGION,AOCOSCP01O,2070,0.0
REGION,AOCOSCP02N,2043,0.235457081802725
REGION,AOCOSCP02N,2044,0.595566094214665
REGION,AOCOSCP02N,2045,0.916273728385635
REGION,AOCOSCP02N,2046,1.29472251003171
REGION,AOCOSCP02N,2047,1.97287231613649
REGION,AOCOSCP02N,2048,2.92403548779384
REGION,AOCOSCP02N,2049,3.7558162424467
REGION,AOCOSCP02N,2050,4.71199283320121
REGION,AOCOSCP02N,2051,5.36624396564381
REGION,AOCOSCP02N,2052,6.05178000560552
REGION,AOCOSCP02N,2053,6.72154211185261
REGION,AOCOSCP02N,2054,7.4454401904116
REGION,AOCOSCP02N,2055,8.05522421526857
REGION,AOCOSCP02N,2056,8.81956560441034
REGION,AOCOSCP02N,2057,9.68807909115135
REGION,AOCOSCP02N,2058,10.545954768556
REGION,AOCOSCP02N,2059,11.4400177784941
REGION,AOCOSCP02N,2060,12.3956411777145
REGION,AOCOSCP02N,2061,13.1952781031336
REGION,AOCOSCP02N,2062,13.4392262340303
REGION,AOCOSCP02N,2063,13.586770865401
REGION,AOCOSCP02N,2064,13.921054219853
REGION,AOCOSCP02N,2065,14.1182308364894
REGION,AOCOSCP02N,2066,14.4292008252803
REGION,AOCOSCP02N,2067,14.9250469941614
REGION,AOCOSCP02N,2068,15.4351117102772
REGION,AOCOSCP02N,2069,16.0151859109901
REGION,AOCOSCP02N,2070,16.9818859113472
REGION,AOCOSCP02O,2070,0.0
REGION,AOCOSCP03N,2070,0.0
REGION,AOCOSCP03O,2070,0.0
REGION,AOCOSCP04N,2070,0.0
REGION,AOCOSCP04O,2070,0.0
REGION,AOCR00E00X,2015,3657.8370415096
