r,t,y,NewCapacity
REGION,AOCR00X00X,2020,16.6886230981425
REGION,AOCR00X00X,2021,1144.67601002907
REGION,AOCR00X00X,2025,542.113458112219
REGION,AOCR00X00X,2028,287.217725169638
REGION,AOCR00X00X,2035,999993724.686872
REGION,AOCR00X00X,2052,4275.22290146351
REGION,AOCR00X00X,2056,1169.75904285908
REGION,AOCR00X00X,2063,829.331183314323
REGION,AOCR00X00X,2070,999993724.686872
REGION,AOCRUDPROX,2020,16.688623098141
REGION,AOCRUDPROX,2070,0.0
REGION,AOCRUDRE1X,2015,999999.0
REGION,AOCRUDRE1X,2016,999999.0
REGION,AOCRUDRE1X,2017,999999.0
REGION,AOCRUDRE1X,2018,999999.0
REGION,AOCRUDRE1X,2019,999999.0
REGION,AOCRUDRE1X,2020,999999.0
REGION,AOCRUDRE1X,2021,999999.0
REGION,AOCRUDRE1X,2022,999999.0
REGION,AOCRUDRE1X,2023,999999.0
REGION,AOCRUDRE1X,2024,999999.0
REGION,AOCRUDRE1X,2025,999999.0
REGION,AOCRUDRE1X,2026,999999.0
REGION,AOCRUDRE1X,2027,999999.0
REGION,AOCRUDRE1X,2028,999999.0
REGION,AOCRUDRE1X,2029,999999.0
REGION,AOCRUDRE1X,2030,999999.0
REGION,AOCRUDRE1X,2031,999999.0
REGION,AOCRUDRE1X,2032,999999.0
REGION,AOCRUDRE1X,2033,999999.0
REGION,AOCRUDRE1X,2034,999999.0
REGION,AOCRUDRE1X,2035,999999.0
REGION,AOCRUDRE1X,2036,999999.0
REGION,AOCRUDRE1X,2037,999999.0
REGION,AOCRUDRE1X,2038,999999.0
REGION,AOCRUDRE1X,2039,999999.0
REGION,AOCRUDRE1X,2040,999999.0
REGION,AOCRUDRE1X,2041,999999.0
REGION,AOCRUDRE1X,2042,999999.0
REGION,AOCRUDRE1X,2043,999999.0
REGION,AOCRUDRE1X,2044,999999.0
REGION,AOCRUDRE1X,2045,999999.0
REGION,AOCRUDRE1X,2046,999999.0
REGION,AOCRUDRE1X,2047,999999.0
REGION,AOCRUDRE1X,2048,999999.0
